Year,Age,Sex,Name,Movie
1928,44,M,Emil Jannings,The Last Command
1929,41,M,Warner Baxter,In Old Arizona
1930,62,M,George Arliss,Disraeli
1931,53,M,Lionel Barrymore,A Free Soul
1932,47,M,Wallace Beery,The Champ
1933,35,M,Fredric March,Dr. Jekyll and Mr. Hyde
1934,34,M,Charles Laughton,The Private Life of Henry VIII
1935,34,M,Clark Gable,It Happened One Night
1936,49,M,Victor McLaglen,The Informer
1937,41,M,Paul Muni,The Story of Louis Pasteur
1938,37,M,Spencer Tracy,Captains Courageous
1939,38,M,Spencer Tracy,Boys Town
1940,34,M,Robert Donat,Goodbye
1941,32,M,James Stewart,The Philadelphia Story
1942,40,M,Gary Cooper,Sergeant York
1943,43,M,James Cagney,Yankee Doodle Dandy
1944,48,M,Paul Lukas,Watch on the Rhine
1945,41,M,Bing Crosby,Going My Way
1946,39,M,Ray Milland,The Lost Weekend
1947,49,M,Fredric March,The Best Years of Our Lives
1948,57,M,Ronald Colman,A Double Life
1949,41,M,Laurence Olivier,Hamlet
1950,38,M,Broderick Crawford,All the King's Men
1951,39,M,José Ferrer,Cyrano de Bergerac
1952,52,M,Humphrey Bogart,The African Queen
1953,51,M,Gary Cooper,High Noon
1954,35,M,William Holden,Stalag 17
1955,30,M,Marlon Brando,On the Waterfront
1956,39,M,Ernest Borgnine,Marty
1957,36,M,Yul Brynner,The King and I
1958,43,M,Alec Guinness,The Bridge on the River Kwai
1959,49,M,David Niven,Separate Tables
1960,36,M,Charlton Heston,Ben-Hur
1961,47,M,Burt Lancaster,Elmer Gantry
1962,31,M,Maximilian Schell,Judgment at Nuremberg
1963,47,M,Gregory Peck,To Kill a Mockingbird
1964,37,M,Sidney Poitier,Lilies of the Field
1965,57,M,Rex Harrison,My Fair Lady
1966,42,M,Lee Marvin,Cat Ballou
1967,45,M,Paul Scofield,A Man for All Seasons
1968,42,M,Rod Steiger,In the Heat of the Night
1969,45,M,Cliff Robertson,Charly
1970,62,M,John Wayne,True Grit
1971,43,M,George C. Scott,Patton
1972,42,M,Gene Hackman,The French Connection
1973,48,M,Marlon Brando,The Godfather
1974,49,M,Jack Lemmon,Save the Tiger
1975,56,M,Art Carney,Harry and Tonto
1976,38,M,Jack Nicholson,One Flew Over the Cuckoo's Nest
1977,60,M,Peter Finch,Network
1978,30,M,Richard Dreyfuss,The Goodbye Girl
1979,40,M,Jon Voight,Coming Home
1980,42,M,Dustin Hoffman,Kramer vs. Kramer
1981,37,M,Robert De Niro,Raging Bull
1982,76,M,Henry Fonda,On Golden Pond
1983,39,M,Ben Kingsley,Gandhi
1984,53,M,Robert Duvall,Tender Mercies
1985,45,M,F. Murray Abraham,Amadeus
1986,36,M,William Hurt,Kiss of the Spider Woman
1987,62,M,Paul Newman,The Color of Money
1988,43,M,Michael Douglas,Wall Street
1989,51,M,Dustin Hoffman,Rain Man
1990,32,M,Daniel Day-Lewis,My Left Foot
1991,42,M,Jeremy Irons,Reversal of Fortune
1992,54,M,Anthony Hopkins,The Silence of the Lambs
1993,52,M,Al Pacino,Scent of a Woman
1994,37,M,Tom Hanks,Philadelphia
1995,38,M,Tom Hanks,Forrest Gump
1996,32,M,Nicolas Cage,Leaving Las Vegas
1997,45,M,Geoffrey Rush,Shine
1998,60,M,Jack Nicholson,As Good as It Gets
1999,46,M,Roberto Benigni,Life Is Beautiful
2000,40,M,Kevin Spacey,American Beauty
2001,36,M,Russell Crowe,Gladiator
2002,47,M,Denzel Washington,Training Day
2003,29,M,Adrien Brody,The Pianist
2004,43,M,Sean Penn,Mystic River
2005,37,M,Jamie Foxx,Ray
2006,38,M,Philip Seymour Hoffman,Capote
2007,45,M,Forest Whitaker,The Last King of Scotland
2008,50,M,Daniel Day-Lewis,There Will Be Blood
2009,48,M,Sean Penn,Milk
2010,60,M,Jeff Bridges,Crazy Heart
2011,50,M,Colin Firth,The King's Speech
2012,39,M,Jean Dujardin,The Artist
2013,55,M,Daniel Day-Lewis,Lincoln
2014,44,M,Matthew McConaughey,Dallas Buyers Club
2015,33,M,Eddie Redmayne,The Theory of Everything
2016,41,M,Leonardo DiCaprio,The Revenant
1928,22,F,Janet Gaynor,Seventh Heaven
1929,37,F,Mary Pickford,Coquette
1930,28,F,Norma Shearer,The Divorcee
1931,63,F,Marie Dressler,Min and Bill
1932,32,F,Helen Hayes,The Sin of Madelon Claudet
1933,26,F,Katharine Hepburn,Morning Glory
1934,31,F,Claudette Colbert,It Happened One Night
1935,27,F,Bette Davis,Dangerous
1936,27,F,Luise Rainer,The Great Ziegfeld
1937,28,F,Luise Rainer,The Good Earth
1938,30,F,Bette Davis,Jezebel
1939,26,F,Vivien Leigh,Gone with the Wind
1940,29,F,Ginger Rogers,Kitty Foyle
1941,24,F,Joan Fontaine,Suspicion
1942,38,F,Greer Garson,Mrs. Miniver
1943,25,F,Jennifer Jones,The Song of Bernadette
1944,29,F,Ingrid Bergman,Gaslight
1945,40,F,Joan Crawford,Mildred Pierce
1946,30,F,Olivia de Havilland,To Each His Own
1947,35,F,Loretta Young,The Farmer's Daughter
1948,32,F,Jane Wyman,Johnny Belinda
1949,33,F,Olivia de Havilland,The Heiress
1950,29,F,Judy Holliday,Born Yesterday
1951,38,F,Vivien Leigh,A Streetcar Named Desire
1952,54,F,Shirley Booth,Come Back
1953,24,F,Audrey Hepburn,Roman Holiday
1954,25,F,Grace Kelly,The Country Girl
1955,48,F,Anna Magnani,The Rose Tattoo
1956,41,F,Ingrid Bergman,Anastasia
1957,28,F,Joanne Woodward,The Three Faces of Eve
1958,41,F,Susan Hayward,I Want to Live!
1959,39,F,Simone Signoret,Room at the Top
1960,29,F,Elizabeth Taylor,BUtterfield 8
1961,27,F,Sophia Loren,Two Women
1962,31,F,Anne Bancroft,The Miracle Worker
1963,31,F,Patricia Neal,Hud
1964,29,F,Julie Andrews,Mary Poppins
1965,25,F,Julie Christie,Darling
1966,35,F,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1967,60,F,Katharine Hepburn,Guess Who's Coming to Dinner
1968,61,F,Katharine Hepburn,The Lion in Winter
1969,26,F,Barbra Streisand,Funny Girl
1970,35,F,Maggie Smith,The Prime of Miss Jean Brodie
1971,34,F,Glenda Jackson,Women in Love
1972,34,F,Jane Fonda,Klute
1973,27,F,Liza Minnelli,Cabaret
1974,37,F,Glenda Jackson,A Touch of Class
1975,42,F,Ellen Burstyn,Alice Doesn't Live Here Anymore
1976,41,F,Louise Fletcher,One Flew Over the Cuckoo's Nest
1977,36,F,Faye Dunaway,Network
1978,32,F,Diane Keaton,Annie Hall
1979,41,F,Jane Fonda,Coming Home
1980,33,F,Sally Field,Norma Rae
1981,31,F,Sissy Spacek,Coal Miner's Daughter
1982,74,F,Katharine Hepburn,On Golden Pond
1983,33,F,Meryl Streep,Sophie's Choice
1984,49,F,Shirley MacLaine,Terms of Endearment
1985,38,F,Sally Field,Places in the Heart
1986,61,F,Geraldine Page,The Trip to Bountiful
1987,21,F,Marlee Matlin,Children of a Lesser God
1988,41,F,Cher,Moonstruck
1989,26,F,Jodie Foster,The Accused
1990,80,F,Jessica Tandy,Driving Miss Daisy
1991,42,F,Kathy Bates,Misery
1992,29,F,Jodie Foster,The Silence of the Lambs
1993,33,F,Emma Thompson,Howards End
1994,36,F,Holly Hunter,The Piano
1995,45,F,Jessica Lange,Blue Sky
1996,49,F,Susan Sarandon,Dead Man Walking
1997,39,F,Frances McDormand,Fargo
1998,34,F,Helen Hunt,As Good as It Gets
1999,26,F,Gwyneth Paltrow,Shakespeare in Love
2000,25,F,Hilary Swank,Boys Don't Cry
2001,33,F,Julia Roberts,Erin Brockovich
2002,35,F,Halle Berry,Monster's Ball
2003,35,F,Nicole Kidman,The Hours
2004,28,F,Charlize Theron,Monster
2005,30,F,Hilary Swank,Million Dollar Baby
2006,29,F,Reese Witherspoon,Walk the Line
2007,61,F,Helen Mirren,The Queen
2008,32,F,Marion Cotillard,La Vie en rose
2009,33,F,Kate Winslet,The Reader
2010,45,F,Sandra Bullock,The Blind Side
2011,29,F,Natalie Portman,Black Swan
2012,62,F,Meryl Streep,The Iron Lady
2013,22,F,Jennifer Lawrence,Silver Linings Playbook
2014,44,F,Cate Blanchett,Blue Jasmine
2015,54,F,Julianne Moore,Still Alice
2016,26,F,Brie Larson,Room
